state,district,latitude,longitude,coordinate_source
Maharashtra,Jalgaon,20.8428827,75.5261246,cache/manual
Maharashtra,Jalna,19.918833,75.8708599,cache/manual
Maharashtra,Kolhapur,16.7028412,74.2405329,cache/manual
Maharashtra,Latur,18.3553347,76.7548997,cache/manual
Maharashtra,Mumbai,19.076,72.8777,cache/manual
Maharashtra,Nagpur,21.1498134,79.0820556,cache/manual
Maharashtra,Nanded,19.0942729,77.4832628,cache/manual
Maharashtra,Nandurbar,21.5141622,74.5405513,cache/manual
Maharashtra,Nashik,19.9975,73.7898,cache/manual
Maharashtra,Parbhani,19.2901981,76.6026443,cache/manual
Maharashtra,Pune,18.5204,73.8567,cache/manual
Maharashtra,Raigarh,18.9818971,73.1141545,cache/manual
Maharashtra,Ratnagiri,17.2826079,73.4569787,cache/manual
Maharashtra,Sangli,17.1726928,74.5867654,cache/manual
Maharashtra,Satara,17.6361289,74.2982781,cache/manual
Maharashtra,Sindhudurg,16.1357193,73.6522086,cache/manual
Maharashtra,Solapur,17.8499067,75.2763203,cache/manual
Maharashtra,Thane,19.3653598,73.3685437,cache/manual
Maharashtra,Wardha,20.8256231,78.6131455,cache/manual
Maharashtra,Washim,20.2874178,77.2369655,cache/manual
Maharashtra,Yavatmal,20.0638677,78.3565663,cache/manual
Manipur,Bishnupur,24.6267287,93.7600454,cache/manual
Manipur,Chandel,24.3312009,94.0011081,cache/manual
Manipur,Churachandpur,24.3468839,93.6994143,cache/manual
Manipur,East Imphal,24.8066181,93.9346851,cache/manual
Manipur,Senapati,25.3933697,94.1501773,cache/manual
Manipur,Tamenglong,24.9858596,93.5039967,cache/manual
Manipur,Thoubal,24.6386954,93.996871,cache/manual
Manipur,Ukhrul,25.0978641,94.3610713,cache/manual
Manipur,West Imphal,24.8049259,93.9348265,cache/manual
Meghalaya,East Garo Hills,25.6184946,90.6342162,cache/manual
Meghalaya,East Khasi Hills,25.4023736,91.8317178,cache/manual
Meghalaya,Jaintia Hills,25.5,92.25,cache/manual
Meghalaya,Ri-Bhoi,25.8764026,91.8567574,cache/manual
Meghalaya,South Garo Hills,25.347969,90.5657773,cache/manual
Meghalaya,West Garo Hills,25.6065343,90.2038335,cache/manual
Meghalaya,West Khasi Hills,25.5814429,91.0851094,cache/manual
Mizoram,Aizawl,23.7271,92.7176,cache/manual
Mizoram,Champhai,23.4656,93.3281,cache/manual
Mizoram,Kolasib,24.1905469,92.7136595,cache/manual
Mizoram,Lawngtlai,22.3913377,92.7397189,cache/manual
Mizoram,Lunglei,22.9519972,92.6336207,cache/manual
Mizoram,Mamit,23.7564387,92.4515374,cache/manual
Mizoram,Saiha,22.2876724,93.01336,cache/manual
Mizoram,Serchhip,23.3052514,92.8455124,cache/manual
Nagaland,Dimapur,25.9041378,93.7177609,cache/manual
Nagaland,Kohima,25.6751,94.1086,cache/manual
Nagaland,Mokokchung,26.4795861,94.5105275,cache/manual
Nagaland,Mon,26.666667,95.0,cache/manual
Nagaland,Phek,25.6700924,94.3843925,cache/manual
Nagaland,Tuensang,26.2342107,94.741553,cache/manual
Nagaland,Wokha,26.242251,94.1921153,cache/manual
Nagaland,Zunheboto,26.0123803,94.5123719,cache/manual
Odisha,Angul,21.102538,84.9536825,cache/manual
Odisha,Balangir,20.6095183,83.1673029,cache/manual
Odisha,Balasore,21.5006421,86.919884,cache/manual
Odisha,Bargarh,21.2319922,83.5652737,cache/manual
Odisha,Bhadrak,20.9854052,86.5934226,cache/manual
Odisha,Boudh,20.6407463,83.9969704,cache/manual
Odisha,Cuttack,20.4686,85.8792,cache/manual
Odisha,Debagarh,21.4477962,84.7174204,cache/manual
Odisha,Dhenkanal,20.8351494,85.6022305,cache/manual
Odisha,Gajapati,19.1966026,84.1930634,cache/manual
Odisha,Ganjam,19.6090068,84.7080633,cache/manual
Odisha,Jagatsinghpur,20.2593872,86.1660878,cache/manual
Odisha,Jajpur,20.8746788,86.1215393,cache/manual
Odisha,Jharsuguda,21.8019368,83.9713964,cache/manual
Odisha,Kalahandi,19.8265757,83.0408702,cache/manual
Odisha,Kandhamal,20.1306939,84.0790476,cache/manual
Odisha,Kendrapara,20.5475164,86.5296168,cache/manual
Odisha,Kendujhar,21.5892323,85.6687841,cache/manual
Odisha,Khordha,20.0538149,85.5023308,cache/manual
Odisha,Koraput,18.7232023,82.6100596,cache/manual
Odisha,Malkangiri,18.2744685,81.9520316,cache/manual
Odisha,Mayurbhanj,21.9156338,86.3961824,cache/manual
Odisha,Nabarangpur,19.228896,82.5665715,cache/manual
Odisha,Nayagarh,20.2393682,85.050728,cache/manual
Odisha,Nuapada,20.5412657,82.5292352,cache/manual
Odisha,Puri,19.8076083,85.8252538,cache/manual
Odisha,Rayagada,19.4426698,83.5873053,cache/manual
Odisha,Sambalpur,21.5570606,84.1528515,cache/manual
Odisha,Subarnapur,20.8535784,83.8529159,cache/manual
Odisha,Sundargarh,22.0605153,83.9359154,cache/manual
Puducherry,Karaikal,10.91571,79.8375761,cache/manual
Puducherry,Mahe,11.7021978,75.5364701,cache/manual
Punjab,Amritsar,31.6356659,74.8787496,cache/manual
Punjab,Bathinda,30.1794814,75.0471098,cache/manual
Punjab,Faridkot,30.6014507,74.7950176,cache/manual
Punjab,Fatehgarh Sahib,30.6634042,76.3803,cache/manual
Punjab,Firozpur,30.8753832,74.6525438,cache/manual
Punjab,Gurdaspur,31.9037264,75.2275587,cache/manual
Punjab,Hoshiarpur,31.6092942,75.8459754,cache/manual
Punjab,Jalandhar,31.2922312,75.5678878,cache/manual
Punjab,Kapurthala,31.3856476,75.3053304,cache/manual
Punjab,Ludhiana,30.9090157,75.851601,cache/manual
Punjab,Mansa,29.8764133,75.4889564,cache/manual
Punjab,Moga,30.7877554,75.159359,cache/manual
Punjab,Muktsar,30.4692,74.5182,cache/manual
Punjab,Patiala,30.2092778,76.3397231,cache/manual
Punjab,Rupnagar,31.0917102,76.5289701,cache/manual
Punjab,Sangrur,30.135717,75.8533326,cache/manual
Punjab,Shaheed Bhagat Singh Nagar,31.125,76.116,cache/manual
Rajasthan,Ajmer,26.4499,74.6399,cache/manual
Rajasthan,Alwar,27.553,76.6346,cache/manual
Rajasthan,Banswara,23.4915047,74.3502172,cache/manual
Rajasthan,Baran,24.9208165,76.6821985,cache/manual
Rajasthan,Barmer,25.5814853,71.1924922,cache/manual
Rajasthan,Bharatpur,27.2152,77.503,cache/manual
Rajasthan,Bhilwara,25.470994,74.6961316,cache/manual
Rajasthan,Bikaner,28.0159286,73.3171367,cache/manual
Rajasthan,Bundi,25.4367659,75.7361471,cache/manual
Rajasthan,Chittorgarh,24.7171578,74.4718129,cache/manual
Rajasthan,Churu,28.2047781,74.6912996,cache/manual
Rajasthan,Dausa,26.8048659,76.4437457,cache/manual
Rajasthan,Dhaulpur,26.7025,77.8934,cache/manual
Rajasthan,Dungarpur,23.8538893,73.7087177,cache/manual
Rajasthan,Hanumangarh,29.3659533,74.298429,cache/manual
Rajasthan,Jaipur,26.9124,75.7873,cache/manual
Rajasthan,Jaisalmer,27.0264162,70.777512,cache/manual
Rajasthan,Jalore,25.2093482,72.3178889,cache/manual
Rajasthan,Jhalawar,24.3132368,76.5221078,cache/manual
Rajasthan,Jhunjhunu,28.0798944,75.5424211,cache/manual
Rajasthan,Jodhpur,26.2389,73.0243,cache/manual
Rajasthan,Karauli,26.4947,77.0169,cache/manual
Rajasthan,Kota,25.2138,75.8648,cache/manual
Rajasthan,Nagaur,26.9873443,73.7389011,cache/manual
Rajasthan,Pali,25.4552211,73.419389,cache/manual
Rajasthan,Rajsamand,25.2892459,73.8241077,cache/manual
Rajasthan,Sawai Madhopur,26.2290186,76.3043561,cache/manual
Rajasthan,Sikar,27.6624156,75.0279971,cache/manual
Rajasthan,Sirohi,24.8114047,72.8300257,cache/manual
Rajasthan,Sri Ganganagar,29.4605539,73.5850528,cache/manual
Rajasthan,Tonk,26.1223198,75.6632235,cache/manual
Rajasthan,Udaipur,24.5854,73.7125,cache/manual
